Date,Time,kWh delivered,kWh received,
01/06/2022,12 a.m.,0.503,,
01/06/2022,1 a.m.,0.528,,
01/06/2022,2 a.m.,0.503,,
01/06/2022,3 a.m.,0.479,,
01/06/2022,4 a.m.,0.525,,
01/06/2022,5 a.m.,0.767,,
01/06/2022,6 a.m.,1.11,,
01/06/2022,7 a.m.,1.423,,
01/06/2022,8 a.m.,0.822,,
01/06/2022,9 a.m.,0.89,,
01/06/2022,10 a.m.,0.848,,
01/06/2022,11 a.m.,2.72,,
01/06/2022,12 p.m.,1.036,,
01/06/2022,1 p.m.,3.073,,
01/06/2022,2 p.m.,1.267,,
01/06/2022,3 p.m.,0.469,,
01/06/2022,4 p.m.,,,
01/06/2022,5 p.m.,,,
01/06/2022,6 p.m.,,,
01/06/2022,7 p.m.,,,
01/06/2022,8 p.m.,,,
01/06/2022,9 p.m.,,,
01/06/2022,10 p.m.,,,
01/06/2022,11 p.m.,,,
02/06/2022,12 a.m.,0.383,,
02/06/2022,1 a.m.,0.49,,
02/06/2022,2 a.m.,0.505,,
02/06/2022,3 a.m.,0.457,,
02/06/2022,4 a.m.,0.411,,
02/06/2022,5 a.m.,1.169,,
02/06/2022,6 a.m.,0.716,,
02/06/2022,7 a.m.,1.976,,
02/06/2022,8 a.m.,1.174,,
02/06/2022,9 a.m.,2.906,,
02/06/2022,10 a.m.,1.298,,
02/06/2022,11 a.m.,1.197,,
02/06/2022,12 p.m.,0.899,,
02/06/2022,1 p.m.,0.83,,
02/06/2022,2 p.m.,0.695,,
02/06/2022,3 p.m.,0.633,,
10/06/2022,4 p.m.,0.731,,
10/06/2022,5 p.m.,0.667,,
10/06/2022,6 p.m.,1.166,,
10/06/2022,7 p.m.,1.059,,
10/06/2022,8 p.m.,0.785,,
10/06/2022,9 p.m.,1.236,,
10/06/2022,10 p.m.,0.929,,
10/06/2022,11 p.m.,0.509,,
11/06/2022,12 a.m.,0.504,,
11/06/2022,1 a.m.,0.442,,
11/06/2022,2 a.m.,0.487,,
11/06/2022,3 a.m.,0.558,,
11/06/2022,4 a.m.,0.791,,
11/06/2022,5 a.m.,0.915,,
11/06/2022,6 a.m.,0.743,,
11/06/2022,7 a.m.,0.632,,
11/06/2022,8 a.m.,0.852,,
11/06/2022,9 a.m.,1.971,,
11/06/2022,10 a.m.,2.502,,
11/06/2022,11 a.m.,0.848,,
11/06/2022,12 p.m.,0.724,,
11/06/2022,1 p.m.,1.262,,
11/06/2022,2 p.m.,1.282,,
11/06/2022,3 p.m.,1.113,,
11/06/2022,4 p.m.,0.824,,
